parameter,i,j,value
class,59,8,0.12575202
class,59,9,0.21005495
class,60,0,0.0820277
class,60,1,0.84700364
class,60,2,0.0668299
class,60,3,0.07150181
class,60,4,0.070470735
class,60,5,0.14117657
class,60,6,0.8340903
class,60,7,0.13612147
class,60,8,0.7242832
class,60,9,0.8568085
class,61,0,0.09955985
class,61,1,0.06646683
class,61,2,0.8780893
class,61,3,0.08671383
class,61,4,0.06430449
class,61,5,0.3565378
class,61,6,0.9034897
class,61,7,0.82017016
class,61,8,0.8858435
class,61,9,0.8564484
class,62,0,0.9306371
class,62,1,0.05767145
class,62,2,0.82112813
class,62,3,0.1492012
class,62,4,0.12846768
class,62,5,0.781255
class,62,6,0.22188723
class,62,7,0.9027441
class,62,8,0.84910196
class,62,9,0.870894
class,63,0,0.83334345
class,63,1,0.09637845
class,63,2,0.12148459
class,63,3,0.151513
class,63,4,0.1285715
class,63,5,0.6361263
class,63,6,0.16107225
class,63,7,0.8462344
class,63,8,0.10520439
class,63,9,0.8284695
class,64,0,0.07022917
class,64,1,0.07020287
class,64,2,0.77989435
class,64,3,0.13256577
class,64,4,0.91055006
class,64,5,0.5386009
class,64,6,0.8249073
class,64,7,0.098182224
class,64,8,0.80168974
class,64,9,0.84851944
class,65,0,0.07624997
class,65,1,0.05954813
class,65,2,0.6917742
class,65,3,0.1250059
class,65,4,0.10639576
class,65,5,0.59786004
class,65,6,0.14469522
class,65,7,0.8202957
class,65,8,0.8277021
class,65,9,0.84327453
class,66,0,0.868978
class,66,1,0.94932157
class,66,2,0.16267452
class,66,3,0.08611059
class,66,4,0.108612716
class,66,5,0.88024706
class,66,6,0.8723842
class,66,7,0.891679
class,66,8,0.10123349
class,66,9,0.875313
class,67,0,0.86273795
class,67,1,0.086793385
class,67,2,0.8788285
class,67,3,0.90729797
class,67,4,0.4414246
class,67,5,0.26576853
class,67,6,0.19410318
class,67,7,0.94316286
class,67,8,0.24272133
class,67,9,0.06445137
class,68,0,0.17245287
class,68,1,0.9106145
class,68,2,0.8919604
class,68,3,0.8788155
class,68,4,0.130908
class,68,5,0.9224038
class,68,6,0.12002798
class,68,7,0.8532698
class,68,8,0.93471825
